GeneID	Control_Expression_Group	Treatment_Expression_Group	Gene_description
Potri.016G142700	NA	Not Expressed	type one serine/threonine protein phosphatase 4
Potri.013G094400	High Expression	Medium Expression	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.010G012400	Not Expressed	NA	Pollen Ole e 1 allergen and extensin family protein
Potri.014G186100	Not Expressed	NA	zinc ion binding;nucleic acid binding
Potri.011G031900	High Expression	NA	eukaryotic translation initiation factor-related
Potri.001G044700	NA	Medium Expression	MITOCHONDRIAL  FERREDOXIN 2
Potri.004G085600	Medium Expression	High Expression	nudix hydrolase homolog 4
Potri.014G168000	Not Expressed	Not Expressed	ATPase subunit 6-1
Potri.005G082700	Not Expressed	NA	NAC-domain protein 101
Potri.013G143300	Low Expression	NA	ribosomal protein L2
Potri.012G022700	Medium Expression	Medium Expression	cleavage and polyadenylation specificity factor 160
Potri.015G094000	High Expression	NA	unknown
Potri.016G092600	NA	Medium Expression	HOPZ-ACTIVATED RESISTANCE 1
Potri.003G120600	Medium Expression	Low Expression	Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein
Potri.011G052700	High Expression	NA	ketol-acid reductoisomerase
Potri.015G134500	Not Expressed	Not Expressed	Protein kinase superfamily protein
Potri.T004700	Not Expressed	NA	Subtilase family protein
Potri.006G153100	NA	Medium Expression	protein kinase family protein / WD-40 repeat family protein
Potri.004G082800	NA	High Expression	NADH-ubiquinone dehydrogenase, mitochondrial, putative
Potri.004G148300	NA	High Expression	extra-large G-protein 1
Potri.017G120300	High Expression	High Expression	unknown
Potri.017G080900	Low Expression	NA	unknown
Potri.011G054300	Low Expression	NA	OBF binding protein 4
Potri.018G066700	Medium Expression	NA	unknown
Potri.007G057800	Medium Expression	NA	Chalcone-flavanone isomerase family protein
Potri.005G142600	Medium Expression	NA	myb domain protein 73
Potri.007G111300	Not Expressed	NA	Thymidine kinase
Potri.013G142300	Not Expressed	Low Expression	DNA-directed RNA polymerase family protein
Potri.013G090000	Medium Expression	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.005G184400	Low Expression	NA	gibberellin 20 oxidase 2
Potri.003G033200	Medium Expression	NA	Pyridoxal-5\'-phosphate-dependent enzyme family protein
Potri.017G052700	Not Expressed	NA	Photosystem I, PsaA/PsaB protein
Potri.013G142600	NA	Not Expressed	ribosomal protein S2
Potri.004G158300	High Expression	High Expression	DNAJ heat shock N-terminal domain-containing protein
Potri.019G048600	Low Expression	Low Expression	dual specificity protein phosphatase (DsPTP1) family protein
Potri.008G180400	Low Expression	NA	HXXXD-type acyl-transferase family protein
Potri.010G124400	NA	High Expression	unknown
Potri.003G054300	Not Expressed	NA	unknown
Potri.018G081300	High Expression	High Expression	proline extensin-like receptor kinase 1
Potri.001G008800	High Expression	NA	histone mono-ubiquitination 2
Potri.010G023800	NA	High Expression	cullin 1
Potri.002G211300	Medium Expression	Medium Expression	NADH dehydrogenase 2A
Potri.002G073100	Not Expressed	Not Expressed	mitogen-activated protein kinase kinase kinase 3
Potri.017G072600	High Expression	High Expression	methyl-CPG-binding domain 9
Potri.015G061000	High Expression	NA	actin binding
Potri.002G213600	NA	Medium Expression	NPL4-like protein 1
Potri.017G044700	NA	High Expression	beta carbonic anhydrase 5
Potri.001G246400	NA	High Expression	Protein kinase protein with tetratricopeptide repeat domain
Potri.019G058600	NA	Medium Expression	Leucine-rich repeat protein kinase family protein
Potri.003G058800	Not Expressed	NA	Phototropic-responsive NPH3 family protein
Potri.T061600	Not Expressed	Not Expressed	unknown
Potri.005G158800	Not Expressed	NA	homeobox protein 22
Potri.003G122600	NA	Not Expressed	hapless 2
Potri.011G056600	Medium Expression	Low Expression	Zinc finger C-x8-C-x5-C-x3-H type family protein
Potri.012G062700	High Expression	High Expression	protein phosphatase 2A  subunit A2
Potri.006G276600	Low Expression	NA	ABC1 family protein
Potri.008G183800	Medium Expression	NA	unknown
Potri.008G211000	Low Expression	NA	glycine-rich protein
Potri.001G178000	High Expression	Medium Expression	tetratricopeptide repeat (TPR)-containing protein
Potri.008G045100	Low Expression	Low Expression	nitrate excretion transporter1
Potri.012G021700	High Expression	NA	60S acidic ribosomal protein family
Potri.012G059900	NA	Not Expressed	TCP family transcription factor
Potri.018G082800	NA	Medium Expression	unknown
Potri.001G406300	NA	High Expression	ARF-GAP domain 5
Potri.016G084700	NA	High Expression	RNA binding (RRM/RBD/RNP motifs) family protein
Potri.012G105400	High Expression	Medium Expression	unknown
Potri.006G163300	Not Expressed	NA	unknown
Potri.013G141300	Not Expressed	Not Expressed	unknown
Potri.019G048400	Not Expressed	NA	Protein kinase superfamily protein
Potri.018G121300	High Expression	NA	adenylate cyclases
Potri.018G081400	Medium Expression	NA	SITE-1 protease
Potri.003G067400	Low Expression	Low Expression	ribosomal protein L33
Potri.004G141700	High Expression	NA	autophagy 2
Potri.002G200200	High Expression	NA	galacturonosyltransferase-like 7
Potri.012G032100	Low Expression	NA	manganese tracking factor for mitochondrial SOD2
Potri.018G083300	High Expression	NA	CDK-activating kinase 1AT
Potri.015G102100	Not Expressed	Not Expressed	NAC domain containing protein 83
Potri.006G165700	High Expression	NA	Aldolase superfamily protein
Potri.014G151800	Medium Expression	NA	Eukaryotic protein of unknown function (DUF914)
Potri.015G025900	NA	Low Expression	FAD-binding Berberine family protein
Potri.014G175300	Low Expression	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.008G220400	High Expression	NA	multifunctional protein 2
Potri.019G018100	NA	Medium Expression	phosphoenolpyruvate carboxylase kinase 2
Potri.002G007100	Not Expressed	Not Expressed	glyceraldehyde-3-phosphate dehydrogenase B subunit
Potri.014G020900	NA	Low Expression	RING/U-box superfamily protein
Potri.011G074500	Not Expressed	Not Expressed	ribosomal protein S12C
Potri.004G095000	Medium Expression	NA	transducin family protein / WD-40 repeat family protein
Potri.008G223900	Not Expressed	NA	unknown
Potri.004G223600	Medium Expression	Medium Expression	DNA-binding bromodomain-containing protein
Potri.011G073900	Not Expressed	Low Expression	Ycf1 protein
Potri.001G362300	High Expression	NA	multidrug resistance-associated protein 3
Potri.T030500	Not Expressed	NA	Plant invertase/pectin methylesterase inhibitor superfamily
Potri.015G079600	High Expression	NA	Ribosomal protein S4 (RPS4A) family protein
Potri.002G079500	High Expression	High Expression	amino acid permease 3
Potri.019G028500	NA	Low Expression	ATP synthase subunit C family protein
Potri.009G016400	NA	Not Expressed	YCF9
Potri.017G082900	Low Expression	Low Expression	homeobox protein 30
Potri.T006200	Not Expressed	NA	ribulose-bisphosphate carboxylases
Potri.004G116400	Medium Expression	NA	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Potri.001G298200	Medium Expression	NA	unknown
Potri.016G007300	Medium Expression	NA	FAR1-related sequence 10
Potri.014G000600	NA	Medium Expression	Enhancer of polycomb-like transcription factor protein
Potri.013G141000	Low Expression	Low Expression	unknown
Potri.017G033400	Low Expression	NA	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.006G130700	High Expression	NA	Phosphatidic acid phosphatase (PAP2) family protein
Potri.018G068200	High Expression	NA	Transducin family protein / WD-40 repeat family protein
Potri.T141100	Not Expressed	NA	unknown
Potri.003G164600	NA	Low Expression	Sterile alpha motif (SAM) domain-containing protein
Potri.011G006500	Not Expressed	Not Expressed	unknown
Potri.008G190000	High Expression	NA	polygalacturonase 2
Potri.006G171400	Medium Expression	NA	CBL-interacting protein kinase 21
Potri.013G143900	Low Expression	NA	UDP-glucosyl transferase 78D2
Potri.001G404700	Low Expression	NA	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Potri.003G050100	NA	High Expression	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
Potri.004G141500	NA	Low Expression	homolog of RAD54
Potri.018G057600	High Expression	NA	profilin 4
Potri.004G126500	Not Expressed	NA	homeobox protein 30
Potri.013G141500	Not Expressed	Low Expression	chloroplast ribosomal protein S4
Potri.014G185600	Not Expressed	Not Expressed	unknown
Potri.017G079400	High Expression	NA	Protein of unknown function (DUF1637)
Potri.019G130800	Not Expressed	NA	unknown
Potri.005G086400	Medium Expression	NA	WRKY DNA-binding protein 13
Potri.002G200400	Low Expression	NA	syntaxin of plants 42
Potri.T030200	Low Expression	NA	unknown
Potri.014G173500	Medium Expression	Medium Expression	Chaperone DnaJ-domain superfamily protein
Potri.011G119700	High Expression	High Expression	proton pump interactor 1
Potri.005G070700	Medium Expression	NA	unknown
Potri.018G083000	NA	Low Expression	Tesmin/TSO1-like CXC domain-containing protein
Potri.017G092000	High Expression	NA	UDP-glucose 6-dehydrogenase family protein
Potri.009G012000	Medium Expression	NA	Preprotein translocase Sec, Sec61-beta subunit protein
Potri.018G058600	High Expression	NA	Zinc finger C-x8-C-x5-C-x3-H type family protein
Potri.011G050800	NA	Medium Expression	fatty acid desaturase family protein
Potri.012G077900	High Expression	NA	DegP protease 9
Potri.005G148100	High Expression	NA	Splicing factor, CC1-like
Potri.002G009400	Medium Expression	NA	Protein kinase superfamily protein
Potri.011G043100	NA	Medium Expression	multidrug resistance-associated protein 12
Potri.002G247700	Medium Expression	Medium Expression	Protein of unknown function (DUF760)
Potri.010G024100	Medium Expression	NA	Mitochondrial substrate carrier family protein
Potri.016G001100	High Expression	NA	myb-like HTH transcriptional regulator family protein
Potri.003G210600	Low Expression	NA	AMP-dependent synthetase and ligase family protein
Potri.008G224200	Not Expressed	NA	zinc ion binding;nucleic acid binding
Potri.018G088200	Medium Expression	Low Expression	Protein kinase family protein with leucine-rich repeat domain
Potri.017G069000	Not Expressed	NA	unknown
Potri.018G089600	Not Expressed	NA	zinc ion binding;nucleic acid binding
Potri.017G106100	High Expression	Medium Expression	ARM repeat superfamily protein
Potri.008G001900	Not Expressed	NA	zinc ion binding;nucleic acid binding
Potri.010G004200	Not Expressed	Not Expressed	HY5-homolog
Potri.019G031000	High Expression	NA	apyrase 2
Potri.013G074800	Not Expressed	NA	NADH dehydrogenase family protein
Potri.019G001300	Not Expressed	Not Expressed	HXXXD-type acyl-transferase family protein
Potri.004G147800	Medium Expression	NA	target of rapamycin
Potri.013G137100	Low Expression	Low Expression	photosystem II reaction center protein B
Potri.013G095400	Low Expression	NA	unknown
Potri.003G067100	NA	High Expression	RING-box 1
Potri.011G072200	Medium Expression	NA	Putative adipose-regulatory protein (Seipin)
Potri.013G139500	Not Expressed	Not Expressed	unknown
Potri.011G095400	Not Expressed	NA	unknown
Potri.001G101400	High Expression	High Expression	Adaptin family protein
Potri.003G022100	NA	Medium Expression	SNF2 domain-containing protein / helicase domain-containing protein
Potri.014G188300	Not Expressed	Not Expressed	photosystem II reaction center protein C
Potri.017G094900	Medium Expression	NA	Bromodomain transcription factor
Potri.002G105500	Medium Expression	NA	Chaperone DnaJ-domain superfamily protein
Potri.002G179100	Medium Expression	Medium Expression	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.016G090800	NA	High Expression	NRAMP metal ion transporter family protein
Potri.T048700	NA	Not Expressed	unknown
Potri.014G066000	Medium Expression	Medium Expression	Nucleotidyltransferase family protein
Potri.013G136600	Low Expression	Low Expression	ribosomal protein L22
Potri.011G007400	Low Expression	NA	mitogen-activated protein kinase kinase kinase 15
Potri.006G152500	NA	Not Expressed	cytokinin oxidase 3
Potri.017G074000	Low Expression	NA	ABC transporter family protein
Potri.014G061400	Not Expressed	NA	SPX domain gene 3
Potri.016G110600	Low Expression	NA	3-oxo-5-alpha-steroid 4-dehydrogenase family protein
Potri.017G128300	NA	Medium Expression	DegP protease 7
Potri.004G007800	Not Expressed	NA	SLAC1 homologue 1
Potri.007G095300	High Expression	NA	unknown
Potri.004G196400	NA	High Expression	C2H2 zinc-finger protein SERRATE (SE)
Potri.013G093400	NA	High Expression	Translation elongation factor EF1A/initiation factor IF2gamma family protein
Potri.002G246800	Medium Expression	NA	Cyclin family protein
Potri.002G214400	High Expression	High Expression	Mitogen activated protein kinase kinase kinase-related
Potri.011G004500	Low Expression	NA	Ankyrin repeat family protein
Potri.011G010200	Medium Expression	NA	unknown
Potri.017G013100	Medium Expression	Low Expression	targeting protein for XKLP2
Potri.017G086500	High Expression	NA	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Potri.013G140100	Medium Expression	Medium Expression	unknown
Potri.008G213700	Not Expressed	NA	unknown
Potri.013G019200	Low Expression	NA	indeterminate(ID)-domain 2
Potri.008G188000	Medium Expression	NA	Protein of Unknown Function (DUF239)
Potri.017G075600	NA	Medium Expression	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Potri.011G051900	Low Expression	NA	unknown
Potri.013G092500	NA	Low Expression	unknown
Potri.004G126100	Medium Expression	NA	Saccharopine dehydrogenase
Potri.013G091300	Not Expressed	NA	RING/U-box superfamily protein
Potri.009G155200	NA	High Expression	Structural maintenance of chromosomes (SMC) family protein
Potri.013G139000	Not Expressed	Not Expressed	ribosomal protein S12C
Potri.011G087900	Medium Expression	NA	WRKY family transcription factor family protein
Potri.017G101200	NA	Medium Expression	Alpha-L RNA-binding motif/Ribosomal protein S4 family protein
Potri.019G002300	NA	Not Expressed	Fasciclin-like arabinogalactan family protein
Potri.004G177700	High Expression	NA	transportin 1
Potri.008G207000	Medium Expression	Medium Expression	ribosomal protein L3 plastid
Potri.003G112900	NA	Low Expression	Pentapeptide repeat-containing protein
Potri.019G028700	Not Expressed	NA	ribosomal protein S2
Potri.011G064600	High Expression	High Expression	unknown
Potri.006G170400	Medium Expression	NA	adenosylmethionine-8-amino-7-oxononanoate transaminases
Potri.010G001200	High Expression	NA	unknown
Potri.003G034800	NA	Not Expressed	multidrug resistance-associated protein 6
Potri.003G072900	Low Expression	NA	related to ABI3/VP1 2
Potri.010G026200	NA	Medium Expression	squamosa promoter binding protein-like 7
Potri.008G088200	Not Expressed	NA	AGAMOUS-like 30
Potri.003G177900	Low Expression	Low Expression	unknown
Potri.004G145400	Low Expression	NA	endonucleases
Potri.019G116200	Low Expression	NA	unknown
Potri.012G018900	Not Expressed	Not Expressed	unknown
Potri.007G040300	High Expression	NA	phospholipase A 2A
Potri.014G169900	NA	High Expression	Kinase-related protein of unknown function (DUF1296)
Potri.010G013700	Medium Expression	NA	Cysteine proteinases superfamily protein
Potri.013G106000	High Expression	NA	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
Potri.004G154000	Medium Expression	NA	Protein kinase superfamily protein
Potri.T012800	High Expression	High Expression	calcium-dependent protein kinase 2
Potri.017G078700	NA	Medium Expression	unknown
Potri.018G023100	Medium Expression	NA	unknown
Potri.012G086800	Medium Expression	NA	Ribosomal protein L19 family protein
Potri.001G214800	Medium Expression	NA	ubiquitin-specific protease 8
Potri.002G190700	Medium Expression	NA	unknown
Potri.017G039200	High Expression	NA	aminopeptidase M1
Potri.018G017200	NA	High Expression	RNA recognition motif (RRM)-containing protein
Potri.001G374300	Low Expression	Not Expressed	glutamate receptor 2.7
Potri.003G019900	Not Expressed	NA	HXXXD-type acyl-transferase family protein
Potri.016G018700	High Expression	NA	unknown
Potri.009G016300	Not Expressed	Not Expressed	Photosystem I, PsaA/PsaB protein
Potri.008G219100	Medium Expression	NA	unknown
Potri.011G025300	Not Expressed	NA	ROP-interactive CRIB motif-containing protein 1
Potri.016G114600	NA	Low Expression	carboxyl-terminal domain (ctd) phosphatase-like 2
Potri.014G184800	NA	Not Expressed	unknown
Potri.019G103100	High Expression	NA	Protein phosphatase 2C family protein
Potri.018G014800	Medium Expression	NA	Eukaryotic aspartyl protease family protein
Potri.010G004100	NA	Medium Expression	transcription regulatory protein SNF5, putative (BSH)
Potri.014G001100	Medium Expression	NA	Polyketide cyclase/dehydrase and lipid transport superfamily protein
Potri.008G044100	Medium Expression	NA	unknown
Potri.017G102900	Medium Expression	Medium Expression	disease resistance protein (TIR-NBS-LRR class), putative
Potri.017G140700	Not Expressed	NA	photosystem II reaction center protein B
Potri.001G086800	Medium Expression	Low Expression	methyltransferases;copper ion binding
Potri.013G142700	Not Expressed	NA	ATP synthase subunit C family protein
Potri.002G179500	High Expression	High Expression	pyruvate dehydrogenase E1 alpha
Potri.011G074200	Low Expression	Medium Expression	ribosomal protein S19
Potri.006G151800	NA	High Expression	Transducin family protein / WD-40 repeat family protein
Potri.006G142300	NA	Low Expression	partner of SLD five 1
Potri.005G164100	NA	Medium Expression	methyl-CPG-binding domain 8
Potri.016G089800	NA	Not Expressed	unknown
Potri.014G191300	Low Expression	NA	wound-responsive protein-related
Potri.004G162500	High Expression	Medium Expression	global transcription factor group A2
Potri.018G097000	NA	Not Expressed	Fasciclin-like arabinogalactan family protein
Potri.001G411700	NA	Low Expression	S-locus lectin protein kinase family protein
Potri.014G162100	Not Expressed	NA	Mo25 family protein
Potri.004G037700	High Expression	NA	SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related
Potri.008G089700	Not Expressed	NA	myb domain protein 106
Potri.T006600	Not Expressed	NA	unknown
Potri.011G047100	Low Expression	NA	unknown
Potri.003G033600	NA	Medium Expression	DNA binding;DNA-directed RNA polymerases
Potri.011G093700	NA	Low Expression	Concanavalin A-like lectin protein kinase family protein
Potri.010G004400	High Expression	NA	Pectinacetylesterase family protein
Potri.015G058900	NA	Medium Expression	unknown
Potri.018G086300	NA	Medium Expression	CDC27  family protein
Potri.016G092700	NA	High Expression	Leucine-rich repeat transmembrane protein kinase
Potri.011G075000	Low Expression	Low Expression	Chloroplast Ycf2;ATPase, AAA type, core
Potri.005G165000	Medium Expression	NA	Trm112p-like protein
Potri.004G080200	High Expression	High Expression	expansin A13
Potri.014G178300	Medium Expression	NA	UDP-Glycosyltransferase superfamily protein
Potri.002G211700	Not Expressed	Not Expressed	unknown
Potri.T005800	Low Expression	Low Expression	ribulose-bisphosphate carboxylases
Potri.008G195800	NA	Low Expression	Protein kinase family protein with ARM repeat domain
Potri.010G134400	Medium Expression	Medium Expression	Phosphoribulokinase / Uridine kinase family
Potri.001G407000	High Expression	NA	myosin 2
Potri.008G142900	NA	Low Expression	Pentatricopeptide repeat (PPR-like) superfamily protein
Potri.019G102000	Not Expressed	NA	Clathrin light chain protein
Potri.013G142200	Low Expression	Low Expression	RNA polymerase subunit beta
Potri.010G014500	NA	Medium Expression	tRNA synthetase class I (I, L, M and V) family protein
Potri.009G038600	Medium Expression	NA	unknown
Potri.017G072800	NA	Medium Expression	cyclophilin 38
Potri.014G071100	NA	High Expression	dihydrodipicolinate synthase
Potri.008G223500	Not Expressed	NA	cytochrome P450, family 71, subfamily B, polypeptide 34
Potri.019G055300	High Expression	NA	mitochondrial acyl carrier protein 2
Potri.005G071500	NA	Medium Expression	helicase domain-containing protein / IBR domain-containing protein / zinc finger protein-related
Potri.012G021300	NA	Low Expression	unknown
Potri.008G223600	NA	Not Expressed	zinc ion binding;nucleic acid binding
Potri.003G070400	High Expression	NA	unknown
Potri.019G027800	Not Expressed	NA	DNA-directed RNA polymerase family protein
Potri.013G111900	Low Expression	NA	ATP-binding casette family G25
Potri.011G091900	NA	High Expression	auxin response factor 6
Potri.011G083100	Medium Expression	NA	TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 2
Potri.018G033700	Low Expression	NA	TIFY domain protein 8
Potri.014G029200	Medium Expression	NA	Thioredoxin superfamily protein
Potri.006G010500	Medium Expression	NA	Immunoglobulin E-set superfamily protein
Potri.008G178100	Medium Expression	NA	Protein of unknown function (DUF3537)
Potri.001G048300	Not Expressed	NA	H(+)-ATPase 9
Potri.001G406500	High Expression	NA	GDSL-like Lipase/Acylhydrolase superfamily protein
Potri.017G057100	NA	Medium Expression	Ypt/Rab-GAP domain of gyp1p superfamily protein
Potri.012G047100	High Expression	NA	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.014G048500	Medium Expression	NA	glycine-tRNA ligases
Potri.013G142100	Not Expressed	NA	photosystem II reaction center protein M
Potri.019G043800	Medium Expression	NA	AMP-dependent synthetase and ligase family protein
Potri.006G190700	Not Expressed	NA	STRUBBELIG-receptor family 2
Potri.011G089800	NA	Medium Expression	cleavage and polyadenylation specificity factor 30
Potri.004G089800	Low Expression	NA	GRAS family transcription factor family protein
Potri.001G407800	NA	Low Expression	cyclic nucleotide-gated cation channel 4
Potri.011G074100	Low Expression	Low Expression	unknown
Potri.016G099300	Low Expression	Low Expression	unknown
Potri.019G089700	NA	Not Expressed	unknown
Potri.001G406200	Medium Expression	NA	unknown
Potri.012G007000	NA	High Expression	unknown
Potri.004G146400	Not Expressed	NA	Leucine-rich repeat (LRR) family protein
Potri.009G017400	NA	Medium Expression	BEL1-like homeodomain 1
Potri.001G400300	NA	Medium Expression	Ubiquitin-conjugating enzyme family protein
Potri.002G163400	Medium Expression	NA	Heavy metal transport/detoxification superfamily protein
Potri.016G097300	High Expression	NA	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain
Potri.013G102100	NA	High Expression	Thioredoxin superfamily protein
Potri.009G004900	Not Expressed	Not Expressed	unknown
Potri.017G072100	High Expression	NA	zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.018G057500	Medium Expression	NA	haloacid dehalogenase-like hydrolase family protein
Potri.010G025000	NA	High Expression	heat shock factor binding protein
Potri.013G074900	Not Expressed	NA	NADH dehydrogenase family protein
Potri.001G281000	Not Expressed	NA	Protein of unknown function (DUF640)
Potri.T006000	Not Expressed	Not Expressed	ribulose-bisphosphate carboxylases
Potri.017G013000	NA	Medium Expression	RING 1A
Potri.013G048400	Not Expressed	NA	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.003G164200	NA	Low Expression	kinase interacting (KIP1-like) family protein
Potri.001G358300	High Expression	NA	Early-responsive to dehydration stress protein (ERD4)
Potri.010G022400	NA	Medium Expression	GTP1/OBG family protein
Potri.019G091500	NA	Medium Expression	plasmodesmata callose-binding protein 5
Potri.001G004800	NA	High Expression	ARM repeat superfamily protein
Potri.006G069100	Medium Expression	Medium Expression	unknown
Potri.001G227600	NA	Not Expressed	beta glucosidase 13
Potri.001G370500	Medium Expression	NA	unknown
Potri.002G152500	High Expression	High Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.009G051800	High Expression	NA	Protein of unknown function (DUF3411)
Potri.017G078900	NA	High Expression	sec7 domain-containing protein
Potri.018G057200	High Expression	NA	nuclear poly(a) polymerase
Potri.004G068400	High Expression	NA	unknown
Potri.004G128000	Not Expressed	Not Expressed	unknown
Potri.014G167900	Not Expressed	NA	unknown
Potri.002G204200	Not Expressed	NA	alpha/beta-Hydrolases superfamily protein
Potri.005G093000	Medium Expression	NA	Zinc finger, C3HC4 type (RING finger) family protein
Potri.005G203900	Medium Expression	NA	Golgi transport complex protein-related
Potri.T027100	Not Expressed	Not Expressed	iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding
Potri.017G083200	High Expression	NA	structural maintenance of chromosome 3
Potri.009G016500	Not Expressed	Not Expressed	photosystem II reaction center protein C
Potri.011G036200	NA	Low Expression	unknown
Potri.012G013700	NA	Not Expressed	AP2/B3-like transcriptional factor family protein
Potri.T030600	Medium Expression	NA	acyl-CoA dehydrogenase-related
Potri.001G088400	Low Expression	Not Expressed	RING/U-box superfamily protein
Potri.001G324700	Medium Expression	Medium Expression	unknown
Potri.018G090100	High Expression	High Expression	Aldolase superfamily protein
Potri.010G167300	Low Expression	Low Expression	AGAMOUS-like 30
Potri.005G143200	Medium Expression	High Expression	Protein kinase superfamily protein
Potri.013G141100	Low Expression	Low Expression	acetyl-CoA carboxylase carboxyl transferase subunit beta
Potri.017G070100	NA	Medium Expression	Protein phosphatase 2A regulatory B subunit family protein
Potri.011G052500	NA	Medium Expression	Protein of unknown function (DUF2921)
Potri.017G140600	Not Expressed	Not Expressed	plastid-encoded CLP P
Potri.013G099700	Medium Expression	Medium Expression	shoot gravitropism 2 (SGR2)
Potri.005G095500	NA	Medium Expression	terpene synthase 21
Potri.009G026400	NA	Not Expressed	unknown
Potri.004G137600	NA	Low Expression	Protein kinase superfamily protein
Potri.002G213400	High Expression	NA	sequence-specific DNA binding;sequence-specific DNA binding transcription factors
Potri.017G044500	Medium Expression	NA	K-box region and MADS-box transcription factor family protein
Potri.008G222700	NA	Low Expression	protein arginine methyltransferase 4A
Potri.002G108600	High Expression	High Expression	Phosphoglycerate mutase family protein
Potri.002G227700	Not Expressed	NA	unknown
Potri.019G052400	Medium Expression	NA	unknown
Potri.019G018600	Low Expression	NA	Protein of unknown function (DUF640)
Potri.012G078700	High Expression	High Expression	aldehyde dehydrogenase 2B4
Potri.001G432400	Not Expressed	NA	Acyl-CoA N-acyltransferases (NAT) superfamily protein
Potri.017G075800	NA	Low Expression	catalytics
Potri.011G004000	NA	Medium Expression	PR5-like receptor kinase
Potri.019G080800	NA	High Expression	SPla/RYanodine receptor (SPRY) domain-containing protein
Potri.011G070700	Not Expressed	NA	unknown
Potri.006G143000	High Expression	NA	DENN (AEX-3) domain-containing protein
Potri.006G158900	Not Expressed	NA	sulfate transporter 3;5
Potri.017G079500	Medium Expression	NA	WRKY DNA-binding protein 72
Potri.008G194200	Medium Expression	NA	glycine-rich protein
Potri.008G037400	Low Expression	Low Expression	Protein kinase superfamily protein
Potri.002G235800	NA	High Expression	PHYTOCYSTATIN 2
Potri.011G157300	NA	Medium Expression	NAD(P)-binding Rossmann-fold superfamily protein
Potri.001G438900	NA	Medium Expression	recA DNA recombination family protein
Potri.002G085400	High Expression	NA	Peptidase M20/M25/M40 family protein
Potri.014G047700	Not Expressed	NA	alpha/beta-Hydrolases superfamily protein
Potri.012G085200	Not Expressed	Not Expressed	SKP1-like 11
Potri.018G083100	Medium Expression	NA	RNA-binding protein-related
Potri.004G093400	Not Expressed	Not Expressed	MATE efflux family protein
Potri.009G047400	NA	Low Expression	Protein of unknown function (DUF803)
Potri.009G117300	Low Expression	NA	cryptochrome-interacting basic-helix-loop-helix 1
Potri.012G051300	NA	Medium Expression	TCP-1/cpn60 chaperonin family protein
Potri.004G013400	High Expression	NA	arogenate dehydratase 1
Potri.005G066100	Not Expressed	NA	GATA transcription factor 12
Potri.005G026100	Low Expression	NA	Heavy metal transport/detoxification superfamily protein
Potri.004G133500	NA	High Expression	cell division control 2
Potri.010G041900	Low Expression	NA	unknown
Potri.002G248100	NA	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.008G224300	Not Expressed	Not Expressed	unknown
Potri.002G113100	High Expression	NA	glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein
Potri.010G092200	Low Expression	Low Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.004G134700	Medium Expression	NA	RING/FYVE/PHD zinc finger superfamily protein
Potri.012G141100	NA	Not Expressed	shortage in chiasmata 1
Potri.014G185900	Not Expressed	Not Expressed	unknown
Potri.013G139300	Not Expressed	NA	NADH-Ubiquinone oxidoreductase (complex I), chain 5 protein
